kyears.bp,albx,alby,lat,lon,count,fagus.half,fagus.1,tsuga.1,tsuga.2
2,1721020,74563,36.58,-76.45,1,0,0,0,0
2,1612618,634521,41.67,-76.35,1,1,1,1,1
2,1541694,1067661,45.6,-76.1,1,1,1,1,1
2,1695870,516056,40.48,-75.67,1,1,1,0,0
2,1652301,654399,41.77,-75.83,1,1,1,1,1
2,1591458,1055658,45.4,-75.51,2,1,1,1,1
2,1715381,583401,41.03,-75.27,1,1,1,1,1
2,1795494,529171,40.4,-74.48,1,1,1,0,0
2,1751493,620196,41.28,-74.75,2,1,1,1,1
2,1733172,756011,42.5,-74.6,1,1,1,1,1
2,1691525,909152,43.92,-74.68,1,1,1,1,1
2,1654415,1144945,46.06,-74.47,1,1,1,1,1
2,1800098,527933,40.38,-74.43,1,0,0,1,1
2,1797056,626101,41.24,-74.2,3,1,1,1,1
2,1747314,902619,43.75,-74.02,1,1,1,1,1
2,1740200,950212,44.18,-73.97,2,1,1,1,1
2,1664722,1134795,45.95,-74.37,2,1,1,1,1
2,1656951,1158057,46.17,-74.4,1,1,1,1,1
2,1812459,786108,42.6,-73.57,1,1,1,1,1
2,1702257,1144733,45.96,-73.87,1,1,1,1,1
2,1723363,1186293,46.28,-73.48,1,1,1,1,1
2,1856103,706925,41.82,-73.28,1,1,1,1,1
2,1834920,780040,42.5,-73.32,1,1,1,1,1
2,1852330,801564,42.65,-73.05,1,1,1,1,1
2,1755554,1109563,45.54,-73.31,3,1,1,1,1
2,1743013,1154522,45.96,-73.33,5,1,1,1,1
2,1751045,1235274,46.65,-72.98,3,1,1,1,1
2,1867935,796211,42.57,-72.88,1,1,1,1,1
2,1815786,1103858,45.36,-72.58,1,1,1,1,1
2,1757742,1252909,46.79,-72.84,1,1,1,1,1
2,1961438,681369,41.37,-72.12,1,1,1,1,1
2,1922332,804152,42.52,-72.21,3,1,1,1,1
2,1875795,1005402,44.37,-72.15,2,1,1,1,1
2,2010798,669900,41.16,-71.58,1,1,1,1,0
2,1909957,975078,44.03,-71.83,1,1,1,1,1
2,1914871,987880,44.13,-71.73,2,1,1,1,1
2,1866846,1241971,46.45,-71.5,1,1,1,1,1
2,1831468,1283090,46.89,-71.81,1,1,1,1,1
2,2005131,740171,41.78,-71.43,2,1,1,1,1
2,1902481,1161864,45.67,-71.32,1,1,1,1,1
2,1854961,1310992,47.08,-71.42,1,1,1,1,0
2,1868992,1335325,47.26,-71.16,1,1,1,1,1
2,2081114,718896,41.42,-70.61,3,1,1,1,1
2,1953584,1164119,45.57,-70.68,1,1,1,1,1
2,1956470,1168364,45.6,-70.63,1,1,1,1,1
2,1938792,1241789,46.28,-70.6,2,1,1,1,1
2,1895415,1304625,46.93,-70.93,1,1,1,1,1
2,1897855,1368311,47.48,-70.68,1,1,1,0,0
2,2117299,712625,41.28,-70.21,2,1,1,1,1
2,2114455,787359,41.93,-70,4,1,1,1,1
2,2024141,1005713,44.03,-70.35,2,1,1,1,1
2,1970135,1200923,45.85,-70.35,1,1,1,1,1
2,1948106,1294938,46.72,-70.3,1,1,1,1,1
2,1919209,1376466,47.5,-70.38,1,1,1,0,0
2,2112894,1000660,43.77,-69.3,2,1,1,1,1
2,2073996,1129767,44.98,-69.32,1,1,1,1,1
2,2051097,1281587,46.35,-69.06,2,1,1,1,1
2,1988306,1391332,47.46,-69.45,1,1,1,0,0
2,2155720,1048047,44.07,-68.62,2,1,1,1,1
2,2116719,1149185,45.04,-68.73,2,1,1,1,1
2,2085742,1243180,45.93,-68.77,2,1,1,1,1
2,2023299,1409524,47.53,-68.94,1,1,1,0,0
2,2178608,1082804,44.31,-68.22,1,1,1,1,1
2,2157010,1160036,45.03,-68.2,1,1,1,1,1
2,2140621,1300172,46.28,-67.88,1,1,1,1,1
2,2214884,1204513,45.26,-67.33,1,1,1,1,1
3,-537279,491209,41.72,-102.51,1,0,0,0,0
3,-415806,1184580,48.01,-101.53,1,0,0,0,0
