lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-99.2,42.3,3,0,0,-0.615866658,-1.62055614,2.200058999,0.792032803,1.29324353,1.732514383,-266729,547128
-99.2,42.8,8,0,0,-0.599164151,-1.714077462,2.161733134,0.941711489,1.399693466,1.637024439,-264817,602854
-99.2,43.3,10,0,0,-0.640829444,-1.808081983,2.211973834,1.11247809,1.57110851,1.628260476,-262907,658538
-99.2,43.8,2,0,0,-0.666791335,-1.987360601,1.892780527,1.262536998,1.618169113,1.759954211,-260998,714176
-99.2,47.3,1,0,0,-1.536996242,-2.142047191,0.897171312,1.899817367,2.059970029,1.938470949,-247698,1101868
-99.2,47.8,1,0,0,-1.59725946,-2.144724727,0.632686023,2.00749108,2.11310996,1.870003058,-245809,1156928
-98.7,38.3,1,0,0,0.386478426,-1.503133936,2.12009726,0.43321824,0.941687121,1.563740706,-238715,99058
-98.7,38.8,1,0,0,0.29802949,-1.598801244,2.192066064,0.540634313,1.074111762,1.692799106,-237092,154947
-98.7,39.3,6,0,0,0.276606293,-1.52160768,2.053009951,0.620375583,1.1281821,1.834764388,-235470,210833
-98.7,39.8,4,0,0,0.197845959,-1.498640104,1.91728856,0.666889516,1.13212466,1.80247566,-233848,266712
-98.7,40.3,5,0,0,0.041672923,-1.418680981,1.781723976,0.59628712,1.013678638,1.75088274,-232226,322578
-98.7,40.8,1,0,0,-0.140226742,-1.374114769,1.641277899,0.628095542,1.005697644,1.698192467,-230605,378428
-98.7,41.3,3,0,0,-0.325181099,-1.479596284,1.631183398,0.713581356,1.057356093,1.746028737,-228984,434256
-98.7,41.8,3,0,0,-0.459875584,-1.553678218,1.760947798,0.746305348,1.103907306,1.938633799,-227364,490059
-98.7,42.3,1,0,0,-0.568883127,-1.437508859,1.900384,0.872296945,1.26130288,1.718223051,-225745,545830
