Year,Species,SeedOriginCode,Notes
2009,qufa,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2009,qufa,NC_Orange_Planted_A,Collection area = the Duke Forest
2009,qula,LA_NA_Planted_A,"Supplier = Sheffields Seed Co.  From shipping tag: """"2007 Louisiana""""; lot #070316."""
2009,qula,NC_Durham_Planted_A,Collection area = Duke University campus near the Chapel.
2009,quni,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2009,quni,NC_Durham_Planted_A,"Collection area = Duke University campus; probably the labeled tree at the traffic circle near the Chapel."""
2009,quni,TN_NA_Planted_A,"Supplier = Sheffields Seed Co.  From shipping tag: """"2008 Tennessee""""; lot #080293."""
2010,quni,LA_NA_Planted_A,Supplier = Sheffields Seed Co.
2010,quni,TN_NA_Planted_B,Supplier = Sheffields Seed Co.
2009,quph,AR_NA_Planted_A,Supplier = Sheffields Seed Co.
2010,quph,NC_Orange_Planted_A,"Collection area = a cluster of trees in middle of the Hardwood study site; Duke Forest."""
2010,quph,NC_Orange_Planted_B,"Collected from yard trees of unknown provenance along W. Poplar Ave.; Carrboro NC."""
2009,quru,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2009,quru,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2009,quru,MA_Worcester_Planted_A,Collection area = the Harvard Forest.
2009,quru,NC_Durham_Planted_A,"Collection area = Jim Clark's yard; Durham; NC.  These seem to be red oak/willow oak hybrids."""
2010,quru,MA_Worcester_Planted_A,Collection area = the Harvard Forest.
2010,quru,NC_Orange_Planted_A,Collection area = the Duke Forest and very possibly Dave Bell's parents' yard.
2011,quru,GA_Athens-Clarke_Planted_A,Collection area = the Whitehall Forest.
2011,quru,MI_NA_Planted_A,Supplier = Sheffields Seed Co.
2011,quru,NC_Durham_Planted_A,"Collection area = Jim Clark's yard; Durham; NC.  These are likely hybrids with Q. phellos."""
2011,quru,NC_Orange_Planted_A,Collection area = the Duke Forest and possibly Dave Bell's parents' yard.
2009,quve,MI_NA_Planted_A,"Supplier = Sheffields Seed Co.  From shipping tag: """"2008 Michigan""""; lot #080249."""
2009,ulam,ND_NA_Planted_A,"Supplier = Sheffields Seed Co.  From shipping tag: """"2008 North Dakota""""; lot #080007."""
