"Data dictionary for Thompson and others (2023, A gridded database of the modern distributions of climate, woody plant taxa, and ecoregions for the continental United States and Canada, U.S. Geological Survey data release, https://doi.org/10.5066/P9FPD80E)",,,,
File Name,Field Name,Units,Valid values,Description
,Cornus stolonifera,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cornus stricta,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Corylus cornuta,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cotinus obovatus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cowania mexicana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Crataegus columbiana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Crataegus douglasii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Crataegus erythropoda,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Crataegus saligna,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Crataegus tracyi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Crossosoma bigelovii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cupressus arizonica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cupressus macnabiana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cupressus sargentii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cylindropuntia acanthocarpa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cylindropuntia bigelovii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cylindropuntia echinocarpa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cylindropuntia fulgida,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cylindropuntia ganderi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cylindropuntia imbricata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cylindropuntia whipplei,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cyphomeris gypsophiloides,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Cyrilla racemiflora,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Dalea mollis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Dalea spinosa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Dasylirion leiophyllum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Dasylirion wheeleri,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Diospyros texana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Diospyros virginiana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ditaxis lanceolata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Dithyrea californica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Dodonaea viscosa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Echinocactus polycephalus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ehretia anacua,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Elliottia racemosa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Encelia farinosa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Encelia frutescens,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ephedra nevadensis var. aspera,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ephedra nevadensis var. nevadensis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ephedra torreyana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ephedra trifurca,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ephedra viridis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Eriogonum fasciculatum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Erythrina flabelliformis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Erythrina herbacea,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Eucnide urens,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Eugenia axillaris,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Eugenia foetida,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Euonymus atropurpureus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Euonymus occidentalis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Eysenhardtia polystachya,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Eysenhardtia texana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fagus grandifolia,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fallugia paradoxa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ferocactus covillei,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ferocactus cylindraceus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ferocactus wislizeni,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ficus aurea,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Flourensia cernua,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Forestiera acuminata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Forestiera angustifolia,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Forestiera phillyreoides,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Forestiera segregata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fouquieria splendens,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus americana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus anomala,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus berlandieriana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus caroliniana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus cuspidata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus dipetala,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus greggii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus latifolia,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus nigra,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus pennsylvanica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus profunda,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus quadrangulata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus texensis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fraxinus velutina,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Fremontodendron californicum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Garrya elliptica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Gleditsia aquatica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Gleditsia triacanthos,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Glossopetalon spinescens var. aridum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Glossopetalon spinescens var. spinescens,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Gordonia lasianthus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Guaiacum angustifolium,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Guapira discolor,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Gutierrezia microcephala,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Gymnocladus dioicus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Halesia carolina,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Halesia diptera,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Halesia parviflora,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Hamamelis virginiana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Hamelia patens,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Haplopappus cooperi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Haplopappus cuneatus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Haplopappus laricifolius,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Haplopappus tenuisectus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Hazardia brickellioides,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Helietta parvifolia,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Hesperoyucca newberryi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Hesperoyucca whipplei,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Holacantha emoryi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Hymenoclea salsola,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Hyptis emoryi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex ambigua,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex amelanchier,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex cassine,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex coriacea,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex decidua,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex laevigata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex montana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex myrtifolia,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex opaca,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex verticillata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Ilex vomitoria,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Illicium floridanum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Illicium parviflorum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Janusia gracilis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Jatropha cardiophylla,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Jatropha cuneata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juglans californica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juglans cinerea,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juglans major,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juglans microcarpa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juglans nigra,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus ashei,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus californica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus communis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus deppeana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus erythrocarpa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus horizontalis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus monosperma,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus occidentalis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus osteosperma,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus pinchotii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus scopulorum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus silicicola,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Juniperus virginiana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Kalmia latifolia,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Koeberlinia spinosa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Krameria grayi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Krameria parvifolia,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Laguncularia racemosa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Larix laricina,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Larix lyallii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Larix occidentalis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Larrea divaricata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Leitneria floridana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Leucaena pulverulenta,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Leucaena retusa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Libocedrus decurrens,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lippia wrightii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Liquidambar styraciflua,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Liriodendron tulipifera,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lithocarpus densiflorus,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lophocereus schottii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lycium andersonii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lycium cooperi,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lycium exsertum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lycium fremontii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lycium macrodon,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lycium parishii,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lyonia ferruginea,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Lysiloma latisiliquum,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Maclura pomifera,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Magnolia acuminata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Magnolia ashei,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Magnolia fraseri,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Magnolia grandiflora,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Magnolia macrophylla,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Magnolia pyramidata,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Magnolia tripetala,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Magnolia virginiana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
