"Data dictionary for Thompson and others (2023, A gridded database of the modern distributions of climate, woody plant taxa, and ecoregions for the continental United States and Canada, U.S. Geological Survey data release, https://doi.org/10.5066/P9FPD80E)",,,,
File Name,Field Name,Units,Valid values,Description
,ACER ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,ACER EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,ACER WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,AESCULUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,ALNUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,ALNUS EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,ALNUS WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,ARTEMISIA SUBGENUS TRIDENTATAE ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,BETULA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,CARYA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,CASTANEA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,CUPRESSACEAE EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,CUPRESSACEAE / TAXACEAE ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,CUPRESSACEAE / TAXACEAE EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,CUPRESSACEAE / TAXACEAE WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,CYLINDROPUNTIA ACANTHOCARPA / CYLINDROPUNTIA GANDERI ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,FRAXINUS,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,FRAXINUS EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,FRAXINUS WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,HESPEROYUCCA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUGLANS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUGLANS EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUGLANS WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUNIPERUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUNIPERUS BOREAL ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUNIPERUS EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUNIPERUS WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUNIPERUS WEST WOODLAND with JUNIPERUS CALIFORNICA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUNIPERUS WEST WOODLAND without JUNIPERUS CALIFORNICA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,JUNIPERUS WEST WOODLAND (SOUTHWEST) ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,LARIX ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,LARIX / PSEUDOTSUGA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,MAGNOLIA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,MORTONIA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,OSTRYA / CARPINUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PICEA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
